emis,centre_no,name,quintile,wrote_2014,passed_2014,perc_2014,progressed_2015,wrote_2015,passed_2015,perc_2015,progressed_2016,wrote_2016,passed_2016,perc_2016
400773,4131026,NGUBESIZWE SENIOR SECONDARY SCHOOL,,,,0,0,28,18,64.3,15,68,34,50
200401313,4131015,NOSIMO TECHNICAL HIGH SCHOOL,1,29,4,13.8,3,35,15,42.9,9,45,14,31.1
200400893,4131016,NYANGA SENIOR SECONDARY SCHOOL,3,211,165,78.2,17,231,178,77.1,44,186,146,78.5
200400905,4131021,PAKAMANI SENIOR SECONDARY SCHOOL,1,190,158,83.2,93,289,200,69.2,55,250,182,72.8
200501465,4122043,RIVERSIDE SENIOR SECONDARY SCHOOL,99,86,40,46.5,0,74,49,66.2,0,79,45,57
200600743,4131022,SIFONONDILE SENIOR SECONDARY SCHOOL,2,24,15,62.5,4,16,13,81.3,1,16,11,68.8
0,4131028,SITOZA SENIOR SECONDARY SCHOOL,1,,,0,,,,,3,102,30,29.4
200401199,4131017,ZULULIYAZONGOMA SENIOR SECONDARY,1,112,104,92.9,54,215,86,40,141,260,64,24.6
200401213,4131018,ZWELIHLE SENIOR SECONDARY SCHOOL,1,67,29,43.3,7,69,28,40.6,0,59,17,28.8
200401223,4131019,ZWELIVUMILE SENIOR SECONDARY SCHOOL,1,68,33,48.5,13,91,39,42.9,63,116,40,34.5
200100019,4222001,ALAZHAR PRIMARY INSTITUTE,,11,11,100,0,15,14,93.3,0,14,14,100
200100021,4221002,ALEXANDER ROAD HIGH SCHOOL,5,205,203,99,1,231,229,99.1,0,197,195,99
200100037,4221003,ARCADIA SENIOR SECONDARY SCHOOL,3,96,77,80.2,50,130,85,65.4,63,135,51,37.8
200100957,4221004,BERTRAM SECONDARY SCHOOL,3,95,64,67.4,41,190,131,68.9,85,165,86,52.1
200100064,4221005,BETHELSDORP COMPREHENSIVE SCHOOL,3,144,112,77.8,20,128,98,76.6,14,141,106,75.2
200100079,4221006,BOOYSEN PARK SECONDARY SCHOOL,3,74,59,79.7,30,150,91,60.7,79,128,50,39.1
200100977,4222081,BRYLIN HIGH SCHOOL,99,39,36,92.3,3,27,22,81.5,2,28,25,89.3
200100104,4223007,CAPE RECIFE HIGH SCHOOL,99,28,21,75,1,33,24,72.7,0,25,24,96
200100111,4221008,CHAPMAN HIGH SCHOOL,4,106,102,96.2,39,165,135,81.8,39,119,103,86.6
200100114,4221009,CHATTY SENIOR SECONDARY SCHOOL,3,90,50,55.6,103,154,40,26,77,109,44,40.4
200100118,4221010,CHUBEKILE SENIOR SECONDARY SCHOOL,3,71,37,52.1,27,88,37,42,29,133,18,13.5
200100119,4221011,CINGANI HIGH SCHOOL,3,76,48,63.2,19,104,39,37.5,12,110,47,42.7
200100131,4221012,COLLEGIATE GIRLS HIGH SCHOOL,5,139,138,99.3,0,138,138,100,0,122,122,100
200100137,4221013,COSELELANI SENIOR SECONDARY SCHOOL,3,21,17,81,12,50,24,48,8,30,7,23.3
200100139,4221014,COWAN HIGH SCHOOL,3,136,101,74.3,40,177,124,70.1,17,176,101,57.4
200100151,4221015,DAVID LIVINGSTONE SENIOR SECONDARY,3,81,49,60.5,44,113,55,48.7,35,103,44,42.7
200100177,4221017,DOUGLAS MBOPA SENIOR SECONDARY SCHOOL,3,207,133,64.3,32,195,121,62.1,52,226,126,55.8
200100186,4221018,E Z KABANE HIGH SCHOOL,3,36,25,69.4,8,48,24,50,6,55,32,58.2
200100190,4222019,ED-U-COLLEGE HIGH SCHOOL,99,41,29,70.7,0,38,15,39.5,0,41,23,56.1
200101021,4223060,ELSEN ACADEMY,5,,,0,4,4,4,100,0,5,5,100
200100954,4221021,ETHEMBENI ENRICHMENT CENTRE,3,71,70,98.6,0,68,68,100,0,70,70,100
200100244,4221022,GELVANDALE HIGH SCHOOL,4,161,117,72.7,33,163,85,52.1,57,184,95,51.6
200100277,4221024,GREY BOYS SCHOOL,5,160,160,100,0,186,186,100,0,150,149,99.3
200100308,4221025,HILLSIDE SECODARY SCHOOL,3,56,44,78.6,35,121,77,63.6,30,85,64,75.3
200100033,4221026,HOeRSKOOL ANDREW RABIE,3,84,71,84.5,2,85,73,85.9,5,53,46,86.8
200100313,4221027,HOeRSKOOL CILLIE SCHOOL,3,128,124,96.9,18,150,144,96,3,136,133,97.8
200100165,4221028,HOeRSKOOL D.F MALHERBE,5,94,93,98.9,2,100,100,100,0,98,96,98
200100230,4221029,HOeRSKOOL FRAMESBY,5,190,189,99.5,3,224,221,98.7,0,188,187,99.5
200100607,4221030,HOeRSKOOL OTTO DU PLESSIS,5,154,137,89,3,126,113,89.7,7,141,123,87.2
200100384,4221038,IKHWEZI LOMSO COMPREHENSIVE SCHOOL,3,157,114,72.6,51,193,144,74.6,75,218,154,70.6
200100989,4222032,INSIGHT LEARNING CENTRE &COLLEGE,99,9,7,77.8,1,2,2,100,0,10,6,60
200100344,4221033,ITHEMBELIHLE COMPREHENSIVE SCHOOL,3,145,73,50.3,29,179,75,41.9,32,148,58,39.2
200100347,4221034,JAMES JOLOBE SENIOR SECONDARY SCHOOL,3,86,41,47.7,40,108,45,41.7,23,103,24,23.3
200100973,4222035,KABEGA CHRISTELIKE SKOOL,99,24,22,91.7,0,24,20,83.3,0,7,7,100
200100892,4223036,KHANYISA SCHOOL FOR THE BLIND,99,3,2,66.7,3,8,5,62.5,0,7,3,42.9
200100381,4221037,KHUMBULANI HIGH SCHOOL,3,91,66,72.5,19,122,55,45.1,20,129,71,55
